,gene,cell_type,p_val,logFC,p_val_adj,SnG_score,hallmarker,batches,gene_cell_type
228,HBS1L,Immune,0.7187488926184395,0.3446036,0.988615143500243,0.0002212318941019,True,2,HBS1L_Immune
229,GRK6,Epithelial,0.5924343396449696,0.6196651,0.9438446646814176,0.0006386346649378,True,2,GRK6_Epithelial
230,GRIN2A,Mesenchymal,0.9975617206642358,0.29523593,1.0,0.0333850532770156,False,2,GRIN2A_Mesenchymal
231,FFAR1,Immune,0.9029445954964928,1.1567268,1.0,0.0282393246889114,False,2,FFAR1_Immune
232,HSPA2,Mesenchymal,0.6986840380638811,0.4343682,0.9194180461774384,0.0021263982634991,True,2,HSPA2_Mesenchymal
233,ETS1,Immune,0.0024262198359059,0.8690884,0.0073860566084612,0.0002354228345211,True,2,ETS1_Immune
234,EIF2S2,Endothelial,0.8283349646251692,0.6310785,1.0,0.0040699965320527,True,2,EIF2S2_Endothelial
235,DDB2,"Endothelial, Epithelial",0.6978567276446389,0.44565392,0.9295249461725748,0.0005586694169323,True,2,"DDB2_Endothelial, Epithelial"
236,EGR4,Mesenchymal,0.9700785779663575,0.8911998,1.0,0.0336859300732612,False,2,EGR4_Mesenchymal
237,EGF,Mesenchymal,0.9975914556872102,0.7048368,1.0,0.0163350701332092,True,2,EGF_Mesenchymal
238,E2F1,Epithelial,0.8039268227719298,0.4572809,1.0,0.0026227161288261,True,2,E2F1_Epithelial
239,DKK4,Mesenchymal,0.9744024197282009,0.3852824,1.0,0.0345656648278236,False,2,DKK4_Mesenchymal
240,FBXO31,Immune,0.5198995046364694,0.4642291,0.7864051744618502,0.0008642899920232,True,2,FBXO31_Immune
241,PDIK1L,Endothelial,0.8385502347123343,0.63116634,1.0,0.0038088459987193,True,3,PDIK1L_Endothelial
242,PLAT,"Immune, Epithelial",0.5483310377083042,1.464347225,0.6436993505087822,0.0023692460963502,True,3,"PLAT_Immune, Epithelial"
243,PLAU,Epithelial,0.6150971940812614,0.8485191,0.9804847036681812,0.0012458176352083,True,3,PLAU_Epithelial
244,PPM1D,Endothelial,0.6811154169142766,0.29558602,1.0,0.0022448636591434,True,3,PPM1D_Endothelial
245,RABGGTA,"Endothelial, Epithelial",0.7479625364533088,0.31270449,0.9976007194155888,0.0015324655687436,True,3,"RABGGTA_Endothelial, Epithelial"
246,PTTG1,Endothelial,0.92706426398621,0.5458587,1.0,0.0059062456712126,True,3,PTTG1_Endothelial
247,RAB13,Epithelial,0.7056266484376029,0.33771333,1.0,0.0005715455044992,True,3,RAB13_Epithelial
248,RAET1L,Epithelial,0.7108581764567194,2.525836,1.0,0.0770984664559364,False,3,RAET1L_Epithelial
249,PAPPA,"Endothelial, Epithelial",0.7307368030849877,1.1975848999999998,1.0,0.0011604652972891,True,3,"PAPPA_Endothelial, Epithelial"
250,RGS7BP,Mesenchymal,0.8645478505548613,2.4149325,0.9968108799815548,0.0782022550702095,False,3,RGS7BP_Mesenchymal
251,PSMB5,Epithelial,0.9271587333124384,0.27878532,1.0,0.0007294808747246,True,3,PSMB5_Epithelial
252,NRG1,"Immune, Epithelial",0.8894197907606081,1.093133325,1.0,0.0093593415804207,True,3,"NRG1_Immune, Epithelial"
253,MMEL1,Mesenchymal,0.9801156918789234,1.2875,0.9968108799815548,0.066668264567852,False,3,MMEL1_Mesenchymal
254,NAP1L4,Epithelial,0.8223433990203011,0.270379,1.0,0.0008226031786762,True,3,NAP1L4_Epithelial
255,MYOZ1,Mesenchymal,0.8840335295715115,3.7954445,0.9968108799815548,0.0825942605733871,False,3,MYOZ1_Mesenchymal
256,MUC19,Mesenchymal,0.9808892493980076,1.5613552,0.9968108799815548,0.0810647755861282,False,3,MUC19_Mesenchymal
257,MMP13,Epithelial,0.94633542719894,0.44072118,1.0,0.0628804489970207,True,3,MMP13_Epithelial
258,MMP12,Mesenchymal,0.8695838002211905,0.81070477,0.9968108799815548,0.0055360496044158,True,3,MMP12_Mesenchymal
259,MMP10,Epithelial,0.3258458507216163,1.9393725,0.7737035231912153,0.0073137618601322,True,3,MMP10_Epithelial
260,MMP1,"Endothelial, Epithelial",0.7529930174820989,0.385724115,1.0,0.0011204591137357,True,3,"MMP1_Endothelial, Epithelial"
261,MAP2K6,Immune,0.9527567302519426,0.7465982,1.0,0.026095462962985,True,3,MAP2K6_Immune
262,MDM2,Endothelial,0.8485628340894004,0.25931692,1.0,0.0005325645324774,True,3,MDM2_Endothelial
263,MATK,Endothelial,0.95643470854562,0.4561884,1.0,0.0024049617350101,True,3,MATK_Endothelial
264,MAPK12,Immune,0.3016545398077238,1.4214711,0.590701037846127,0.0018149946117773,True,3,MAPK12_Immune
265,MAP2K7,Epithelial,0.873090500027882,0.72655725,1.0,0.0011767727555707,True,3,MAP2K7_Epithelial
266,RRAS,Epithelial,0.903646376643331,0.43550488,1.0,0.0014486986910924,True,3,RRAS_Epithelial
267,NDN,Epithelial,0.6789456442552888,0.50158215,1.0,0.0031184812542051,True,3,NDN_Epithelial
268,SCUBE3,Mesenchymal,0.9799609825955476,0.4201457,0.9968108799815548,0.0958006531000137,False,3,SCUBE3_Mesenchymal
269,TFAP2A,Epithelial,0.3656466704254131,1.7251612,0.811383636993977,0.0135618913918733,True,3,TFAP2A_Epithelial
270,SERPINB2,"Endothelial, Epithelial",0.6099611121047216,1.34986645,1.0,0.0015266039408743,True,3,"SERPINB2_Endothelial, Epithelial"
271,VEGFC,Epithelial,0.8001418279149516,0.9656622,1.0,0.0012283826945349,True,3,VEGFC_Epithelial
272,TTBK1,Mesenchymal,0.9996131057188994,1.50931,1.0,0.088451936841011,False,3,TTBK1_Mesenchymal
273,TRPM3,Mesenchymal,0.9808892493980076,1.8111225,0.9968108799815548,0.0816461220383644,False,3,TRPM3_Mesenchymal
274,TP63,"Immune, Epithelial",0.6207627113065666,1.4682651,0.870135699244012,0.0128727774135768,True,3,"TP63_Immune, Epithelial"
275,TNNI3,Mesenchymal,0.9225112185418302,23.034101,0.9968108799815548,0.0781552717089653,False,3,TNNI3_Mesenchymal
276,TNFRSF11B,Immune,0.8615161530454534,0.3058851,1.0,0.0032089687883853,True,3,TNFRSF11B_Immune
277,TNFRSF10C,"Mesenchymal, Immune, Epithelial",0.9337270888031513,0.94308356,0.9989369599938516,0.0060867841045061,True,3,"TNFRSF10C_Mesenchymal, Immune, Epithelial"
278,TMEM132E,Mesenchymal,0.9411680996156488,0.6951661,0.9968108799815548,0.0963523983955383,False,3,TMEM132E_Mesenchymal
279,TLR3,"Endothelial, Epithelial",0.7793137289420273,0.294030455,1.0,0.0051556264515966,True,3,"TLR3_Endothelial, Epithelial"
280,TIGD3,Immune,0.9785069810021294,0.256609,1.0,0.0758538022637367,False,3,TIGD3_Immune
281,TFAP4,Epithelial,0.8596555587529339,0.300521,1.0,0.010330831632018,True,3,TFAP4_Epithelial
282,LCP1,Endothelial,0.8470208003052603,0.45151928,1.0,0.0008420915692113,True,3,LCP1_Endothelial
283,TBX18,Mesenchymal,0.9996131057188994,1.8105706,1.0,0.0750955566763877,False,3,TBX18_Mesenchymal
